step,train_loss,val_loss,lr,grad_norm
49400,0.151057,,1.00e-04,0.2652
49500,0.133667,,1.00e-04,0.2489
49600,0.135428,,1.00e-04,0.4201
49700,0.125504,,1.00e-04,0.3062
49800,0.128644,,1.00e-04,0.2600
49900,0.106230,,1.00e-04,0.4225
50000,0.139373,,1.00e-04,0.3466
50000,,0.138370,,
50100,0.106050,,1.00e-04,0.2805
50200,0.112129,,1.00e-04,0.3004
50300,0.153690,,1.00e-04,0.2794
50400,0.126923,,1.00e-04,0.3419
50500,0.120470,,1.00e-04,0.4652
50600,0.119130,,1.00e-04,0.2989
50700,0.147887,,1.00e-04,0.2475
50800,0.127815,,1.00e-04,0.3067
50900,0.166619,,1.00e-04,0.2840
51000,0.150351,,1.00e-04,0.3503
51100,0.157382,,1.00e-04,0.3143
51200,0.137620,,1.00e-04,0.3155
51300,0.142759,,1.00e-04,0.2767
51400,0.153802,,1.00e-04,0.3682
51500,0.109715,,1.00e-04,0.3760
51600,0.144185,,1.00e-04,0.3027
51700,0.158152,,1.00e-04,0.2480
51800,0.145666,,1.00e-04,0.3282
51900,0.115898,,1.00e-04,0.3406
52000,0.138421,,1.00e-04,0.3325
52000,,0.138494,,
52100,0.125742,,1.00e-04,0.4337
52200,0.109288,,1.00e-04,0.3577
52300,0.155061,,1.00e-04,0.2945
52400,0.144478,,1.00e-04,0.3599
52500,0.129101,,1.00e-04,0.3574
52600,0.165583,,1.00e-04,0.2307
52700,0.165583,,1.00e-04,0.2492
52800,0.142238,,1.00e-04,0.2904
52900,0.114512,,1.00e-04,0.2995
53000,0.124133,,1.00e-04,0.2901
53100,0.153476,,1.00e-04,0.3292
53200,0.098665,,1.00e-04,0.4270
53300,0.162311,,1.00e-04,0.3352
53400,0.107588,,1.00e-04,0.3702
53500,0.123482,,1.00e-04,0.3946
53600,0.152763,,1.00e-04,0.2814
53700,0.180571,,1.00e-04,0.3203
53800,0.156340,,1.00e-04,0.3694
53900,0.163957,,1.00e-04,0.4088
54000,0.121062,,1.00e-04,0.3499
54000,,0.140100,,
54100,0.139405,,1.00e-04,0.3729
54200,0.117325,,1.00e-04,0.3320
54300,0.128334,,1.00e-04,0.3538
54400,0.143765,,1.00e-04,0.2681
54500,0.120639,,1.00e-04,0.2933
54600,0.179632,,1.00e-04,0.2690
54700,0.143241,,1.00e-04,0.4215
54800,0.153901,,1.00e-04,0.3019
54900,0.142295,,1.00e-04,0.3139
55000,0.102570,,1.00e-04,0.3609
55100,0.099016,,1.00e-04,0.4224
55200,0.112759,,1.00e-04,0.3325
55300,0.118542,,1.00e-04,0.4197
55400,0.134697,,1.00e-04,0.3145
55500,0.143657,,1.00e-04,0.2594
55600,0.150968,,1.00e-04,0.3085
55700,0.151365,,1.00e-04,0.3436
55800,0.166077,,1.00e-04,0.2671
55900,0.118971,,1.00e-04,0.3445
56000,0.135338,,1.00e-04,0.2870
56000,,0.133921,,
56100,0.113015,,1.00e-04,0.3337
56200,0.138484,,1.00e-04,0.3505
56300,0.115196,,1.00e-04,0.3301
56400,0.147231,,1.00e-04,0.3228
56500,0.119939,,1.00e-04,0.3588
56600,0.135790,,1.00e-04,0.3172
56700,0.095378,,1.00e-04,0.4504
56800,0.130633,,1.00e-04,0.3024
56900,0.120730,,1.00e-04,0.3465
57000,0.146793,,1.00e-04,0.3042
57100,0.103060,,1.00e-04,0.3201
57200,0.113246,,1.00e-04,0.3446
